Name of Commodity,Variation,Year,Month,Rainfall,Temperature,Humidity,Pesticide,Price
Paddy Aman,Fine,2020,January,27,27,83,4333,1994
Paddy Aman,Medium,2020,January,45,25,76,4333,1753
Paddy Aman,Coarse,2020,January,82,24,75,4333,1588
Paddy Aman,Pajam,2020,January,56,24,86,4333,2236
Paddy Aman,shugandhi,2020,January,13,27,87,4333,3988
Paddy Aus,medium,2020,January,45,26,83,4333,2616
Paddy Aus,coarse,2020,January,36,27,78,4333,2343
Paddy Aus,pajam,2020,January,14,24,84,4333,1975
Paddy Boro,fine,2020,January,21,23,85,4333,2342
Paddy Boro,medium,2020,January,70,25,75,4333,1940
Paddy Boro,coarse,2020,January,10,23,76,4333,1648
Paddy Boro,pajam,2020,January,19,27,79,4333,2375
Rice Aman,fine,2020,January,15,24,84,4333,4792
Rice Aman,medium,2020,January,46,25,77,4333,3298
Rice Aman,coarse,2020,January,13,27,70,4333,2697
Rice Aman,pajam,2020,January,47,24,71,4333,4551
Rice Aus,Medium,2020,January,64,24,86,4333,0
Rice Aus,coarse,2020,January,40,27,83,4333,2661
Rice Aus,Pajam,2020,January,14,26,70,4333,0
Rice boro,fine,2020,January,60,25,78,4333,4557
Rice boro,medium,2020,January,40,24,86,4333,3474
Rice boro,coarse,2020,January,28,23,72,4333,2663
Rice boro,pajam,2020,January,82,25,87,4333,4580
Rice OMS,course,2020,January,53,24,83,4333,2764
Aromatic rice,Chinigura,2020,January,24,25,84,4333,8873
Aromatic rice,Kalojira,2020,January,59,24,77,4333,8337
Aromatic rice,kataribhog,2020,January,9,23,72,4333,6337
Wheat local,red,2020,January,8,23,70,4333,2486
Wheat local,white,2020,January,70,27,78,4333,2576
Imported,red,2020,January,7,26,79,4333,2750
Imported,white,2020,January,48,24,86,4333,2603
Ata,loose,2020,January,39,24,70,4333,2505
Ata,Packet,2020,January,17,26,82,4333,3010
flour,loose,2020,January,39,26,81,4333,3253
flour,packet,2020,January,76,24,83,4333,4092
Kalai,mash,2020,January,21,24,78,4333,7020
Kalai,mashur,2020,January,7,26,85,4333,6572
Kalai,mug,2020,January,64,26,72,4333,8447
Kalai,Chola,2020,January,33,25,86,4333,6706
Kalai,Motor local,2020,January,50,25,76,4333,3436
Kalai,Motor foreign,2020,January,27,26,81,4333,3436
Kalai,kheshari,2020,January,67,25,79,4333,4492
Dal,Mash gota,2020,January,21,27,87,4333,9169
Dal,Broken,2020,January,70,26,77,4333,9120
Dal,Mashur local gota,2020,January,23,27,85,4333,9950
Dal,Mashur broken,2020,January,72,25,76,4333,7044
Dal,Mashur foreign,2020,January,32,24,79,4333,8670
Dal,Mug local,2020,January,21,23,71,4333,12227
Dal,Chola gota,2020,January,35,25,77,4333,7524
Dal,Chola broken,2020,January,69,24,82,4333,7335
Dal,Motor local,2020,January,80,23,72,4333,5449
Dal,Motor foreign,2020,January,80,25,86,4333,3530
Dal,kheshari,2020,January,7,26,82,4333,6301
Oil seed,Mustard,2020,January,8,26,74,4333,4973
Oil seed,Tishi,2020,January,75,24,87,4333,6120
Oil seed,Til,2020,January,10,23,84,4333,6080
Oil seed,Nut,2020,January,68,23,74,4333,9453
Oil,Mustard,2020,January,76,27,71,4333,12853
Oil,Soyabeen,2020,January,46,24,75,4333,8681
Oil,Pulm,2020,January,36,27,75,4333,7398
